"age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
23,24,16,6.29,46.35,"5","male","empl","par-time","single"
18,13,9,8.86,36.84,"1","female","empl","par-time","single"
26,20,19,6.43,65.07,"5","male","unempl","full-time","divorced"
20,19,11,7.71,33.87,"2","female","empl","par-time","single"
27,19,21,6.29,65.52,"2","male","unempl","full-time","divorced"
21,14,13,8.14,48.61,"3","female","empl","par-time","single"
25,20,18,6.57,49.86,"1","male","empl","par-time","single"
26,22,19,6.14,59.62,"1","male","unempl","full-time","divorced"
22,22,14,6.86,44.57,"1","female","empl","par-time","single"
21,21,13,7.14,37.56,"1","female","unempl","par-time","single"
22,28,14,7.14,38.34,"4","female","empl","par-time","single"
24,28,16,7.29,58.18,"5","male","unempl","full-time","single"
21,16,13,7.86,46.04,"3","female","empl","par-time","single"
26,19,19,6.57,66.85,"4","male","unempl","full-time","divorced"
22,19,14,7.29,50.3,"5","female","unempl","full-time","single"
22,21,13,7.14,36.44,"4","female","empl","par-time","single"
25,20,17,6.71,52.94,"5","male","unempl","full-time","single"
20,22,11,7.29,29.1,"1","female","empl","par-time","single"
24,24,16,6.29,47.76,"3","male","empl","par-time","single"
26,17,18,7,63.72,"1","male","unempl","full-time","divorced"
23,18,15,7.29,54.82,"1","male","unempl","full-time","single"
26,25,19,5.71,48.05,"5","male","empl","par-time","divorced"
21,24,12,6.86,39.95,"3","female","empl","par-time","single"
17,19,8,8.14,27.2,"3","female","empl","par-time","single"
18,24,8,7.43,21.91,"5","female","empl","par-time","single"
21,17,13,7.71,44.11,"1","female","empl","par-time","single"
16,22,13,7.86,28.85,"3","female","empl","par-time","single"
16,18,7,8.43,26.47,"1","female","empl","par-time","single"
24,19,5,8.57,17.19,"2","female","unempl","par-time","married"
24,16,16,7.43,60.09,"3","male","unempl","full-time","single"
21,24,17,7.43,55.87,"1","male","unempl","full-time","single"
25,22,12,7.14,38.79,"3","female","empl","par-time","single"
19,21,17,6.57,51.28,"1","male","unempl","full-time","single"
22,27,10,6.71,19.17,"2","female","unempl","par-time","single"
17,17,13,7.71,46.93,"1","female","empl","par-time","single"
23,26,8,7.14,10.6,"3","female","unempl","par-time","married"
23,25,15,6.29,42.64,"3","male","empl","par-time","single"
26,21,13,7.14,34.8,"4","female","empl","par-time","married"
20,21,6,8.14,11.6,"4","female","unempl","par-time","single"
21,16,19,7,63.69,"2","male","unempl","full-time","single"
30,19,4,8.71,12.59,"2","female","unempl","par-time","married"
22,21,12,7.29,35.58,"1","female","empl","par-time","single"
29,25,12,6.71,38.67,"1","female","empl","par-time","divorced"
19,18,24,6,81.47,"5","male","unempl","full-time","single"
26,16,14,7.71,42.11,"3","female","empl","par-time","divorced"
21,18,23,6.14,86.15,"5","male","unempl","full-time","single"
20,18,10,8,46.63,"3","female","empl","par-time","single"
25,15,19,7.14,66.14,"1","male","unempl","full-time","single"
25,22,19,8.43,8.06,"1","female","unempl","par-time","married"
25,24,12,6.86,36.34,"4","female","empl","par-time","single"
26,17,11,8,47.89,"1","female","empl","par-time","divorced"
18,22,18,6.29,57.99,"5","male","unempl","full-time","single"
21,24,18,6,53.19,"1","male","unempl","full-time","single"
19,19,18,6.71,55.9,"3","male","unempl","full-time","single"
17,20,19,6.43,60.2,"4","male","unempl","full-time","single"
27,19,9,8,36.63,"5","female","empl","par-time","divorced"
21,18,13,7.57,42.24,"5","female","empl","par-time","single"
28,24,9,7.29,16.72,"2","female","unempl","par-time","married"
26,22,7,7.86,24.72,"4","female","empl","par-time","married"
26,24,20,5.71,59.13,"1","male","unempl","full-time","divorced"
23,14,13,8.14,60.36,"3","female","unempl","par-time","single"
24,21,21,6,67.92,"3","male","unempl","full-time","single"
30,20,19,6.43,63.41,"1","male","unempl","full-time","divorced"
20,22,19,6.14,56.5,"3","male","unempl","full-time","single"
25,23,15,6.57,50.63,"5","male","unempl","full-time","single"
25,20,17,6.71,56.8,"5","male","unempl","full-time","single"
27,18,24,6,78.82,"1","male","unempl","full-time","divorced"
22,18,11,7.86,40.28,"3","female","empl","par-time","single"
25,19,18,6.71,64.83,"2","male","unempl","full-time","single"
23,21,17,6.57,62.56,"4","male","unempl","full-time","single"
26,17,20,6.71,72.21,"5","male","unempl","full-time","divorced"
20,20,14,7.14,47.23,"1","female","empl","par-time","single"
29,19,17,6.86,59.69,"4","male","unempl","full-time","divorced"
29,19,15,7.14,49.9,"3","male","empl","par-time","divorced"
25,23,2,8.43,3.32,"4","female","unempl","par-time","married"
21,16,19,7,71.15,"2","male","unempl","full-time","single"
25,19,11,7.71,34.33,"3","female","empl","par-time","married"
25,17,22,6.43,77.19,"2","male","unempl","full-time","single"
22,19,22,6.14,62.63,"4","male","unempl","full-time","single"
29,19,18,6.71,60.78,"5","male","unempl","full-time","divorced"
19,18,13,7.57,50.04,"1","female","unempl","par-time","single"
25,25,17,6,43.12,"4","male","empl","par-time","single"
22,22,18,6.29,53.15,"2","male","unempl","full-time","single"
18,24,14,6.57,43.2,"4","female","empl","par-time","single"
23,26,23,5,67.46,"5","male","unempl","full-time","single"
21,21,10,7.57,32.84,"3","female","empl","par-time","single"
25,21,18,6.43,53.99,"5","male","unempl","full-time","single"
26,18,13,7.57,42.78,"3","female","empl","par-time","divorced"
19,21,8,7.86,12.98,"1","female","unempl","par-time","single"
22,25,15,6.29,44.83,"3","male","empl","par-time","single"
28,16,12,8,47.49,"1","female","empl","par-time","divorced"
23,18,17,7,63.89,"5","male","unempl","full-time","single"
21,21,19,6.29,63.21,"1","male","unempl","full-time","single"
18,22,10,7.43,33.05,"5","female","empl","par-time","single"
19,17,13,7.71,55.29,"4","female","unempl","par-time","single"
22,19,22,6.14,71.41,"2","male","unempl","full-time","single"
24,21,15,6.86,48.17,"4","male","empl","par-time","single"
27,17,13,7.71,49.7,"5","female","empl","par-time","divorced"
23,19,8,8.14,32.61,"2","female","empl","par-time","married"
30,16,10,8.29,37.86,"3","female","empl","par-time","divorced"
26,23,14,6.71,39.24,"2","female","empl","par-time","divorced"
23,17,16,7.29,55.06,"3","male","unempl","full-time","single"
26,25,20,5.57,61.98,"3","male","unempl","full-time","divorced"
25,19,15,7.14,45.01,"1","male","empl","par-time","single"
26,21,23,5.71,67.69,"4","male","unempl","full-time","divorced"
22,25,18,5.86,42.03,"1","male","empl","par-time","single"
21,16,31,5.29,95.55,"1","male","unempl","full-time","single"
17,16,15,7.57,50.56,"3","male","unempl","full-time","single"
18,18,19,6.71,66.72,"5","male","unempl","full-time","single"
17,21,18,6.43,64.32,"5","male","unempl","full-time","single"
26,20,18,6.57,66.43,"5","male","unempl","full-time","divorced"
28,17,14,7.57,51.43,"5","female","unempl","full-time","divorced"
29,20,13,7.29,37.18,"4","female","empl","par-time","divorced"
23,19,8,8.14,26.73,"4","female","empl","par-time","married"
19,20,9,7.86,30.13,"5","female","empl","par-time","single"
30,20,7,8.14,29.51,"5","female","empl","par-time","married"
21,21,19,6.29,53.68,"4","male","unempl","full-time","single"
32,22,21,5.86,54.62,"1","male","unempl","full-time","divorced"
33,21,22,5.86,72.97,"5","male","unempl","full-time","divorced"
17,16,15,7.57,49.08,"5","male","empl","par-time","single"
21,21,10,7.57,35.25,"1","female","empl","par-time","single"
17,20,23,5.86,77.33,"4","male","unempl","full-time","single"
24,18,12,7.71,33.55,"4","female","empl","par-time","married"
26,16,26,6,88,"4","male","unempl","full-time","single"
23,18,28,5.43,98.12,"2","male","unempl","full-time","single"
23,21,7,8,25.53,"5","female","empl","par-time","married"
17,19,13,7.43,52.55,"5","female","unempl","par-time","single"
